CVEGEO,NOM_ENT,NOM_MUN,POB_TOTAL,ALTITUD,AREA,UMBRAL12H,PORCENTA_1,agua_AR,agua_FC,agua_PT,avg_impact,avg_agricultura,avg_construccion,avg_manufactura,semaforo
7044,CHIAPAS,IXTAPA,28999,1175.3118279569892,27980.27486,124.3485,1.098679,3,2,1,0.8606198,0,0,1,
7045,CHIAPAS,IXTAPANGAJOYA,6284,305.7083333333333,10725.66089,213.5493,6.079431,8,16,0,0.9147051,0,0,1,
7046,CHIAPAS,JIQUIPILAS,41063,608.3832753,130627.6097,105.435,1.835558,1,6,0,0.78887886,0,0,1.05,Amarillo
7047,CHIAPAS,JITOTOL,24966,1434.0151515151515,23561.47341,126.3825,1.175308,3,5,0,0.7433658,0,0,1,
7048,CHIAPAS,JUAREZ,21807,47.26,74227.59442,192.474,20.60888,2,9,0,0.9207643,1,0,1.076923076923077,Amarillo
7049,CHIAPAS,LARRAINZAR,31259,1910.8354430379748,14911.69875,114.372,2.259174,1,1,1,0.8689025,0,0,1.0232558139534884,
7050,CHIAPAS,LA LIBERTAD,5232,42.82105263157895,45643.5991,155.6901,8.104834,1,2,0,0.8878347,0,0,1,Amarillo
7051,CHIAPAS,MAPASTEPEC,46130,65.58754863813229,123080.1452,125.5194,9.495102,8,2,0,0.76841563,3,0,31.14754098360656,Rojo
7052,CHIAPAS,LAS MARGARITAS,141027,1188.9427402862989,302861.2186,83.92059,7.173411,1,4,1,0.7658011,0,4.333333333333334,1.0161290322580645,Amarillo
7053,CHIAPAS,MAZAPA DE MADERO,7901,1781.2407407407406,11129.12681,102.3966,0.833414,1,2,0,0.784986,0,0,1,Verde
7054,CHIAPAS,MAZATAN,28250,13.207317073170731,38794.96485,138.3381,30.051689,1,2,0,0.7792003,0,2,3,Verde
7055,CHIAPAS,METAPA,5876,92.57142857142856,2302.423967,140.499,4.366455,1,3,0,0.9549999,0,0,1,Amarillo
7056,CHIAPAS,MITONTIC,13755,1926.7222222222224,3662.184008,88.07283,2.73015,1,1,0,0.91041666,0,0,1,
7057,CHIAPAS,MOTOZINTLA,76398,1378.1342925659471,58974.78025,106.4718,0.981814,7,9,0,0.82610667,0,6,4.5,
7058,CHIAPAS,NICOLAS RUIZ,4765,732,2965.070237,93.3372,1.182272,4,1,0,0.95182294,0,0,2,
7059,CHIAPAS,OCOSINGO,234661,804.9149232914923,960966.4216,114.7716,5.535923,7,4,0,0.572757,2,3.2,2.026143790849673,Verde
7060,CHIAPAS,OCOTEPEC,14088,1449.675,6120.184122,155.1645,3.232527,3,3,1,0.66618055,0,0,1.1428571428571428,
7061,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,97397,783.0778498609824,208927.7734,117.5499,9.366986,3,4,0,0.7579348,2,0,1.189189189189189,Amarillo
7062,CHIAPAS,OSTUACAN,18469,179.50442477876106,59813.58539,193.5369,12.217559,1,4,0,0.8967203,32,0,1,Amarillo
7063,CHIAPAS,OSUMACINTA,3983,922.4705882,9250.847667,106.7535,14.957756,1,1,0,0.8636076,0,0,1,Verde
7064,CHIAPAS,OXCHUC,54932,1828.5229885057472,41760.82942,83.90169,4.956432,1,1,0,0.88384634,0,0,1,
7065,CHIAPAS,PALENQUE,132265,84.74495217853348,288858.837,155.88,9.340118,0,2,1,0.8521904,6,4.5,2.5793650793650795,Rojo
7066,CHIAPAS,PANTELHO,26391,921.9296875,19285.5461,103.9914,1.530436,3,2,2,0.9249457,0,0,1.6333333333333333,
7067,CHIAPAS,PANTEPEC,12266,1437.8166666666666,10579.59981,166.2102,1.433008,1,3,0,0.7496035,0,0,1.0909090909090908,
7068,CHIAPAS,PICHUCALCO,31919,125.08333333333331,59308.5038,196.0245,14.953991,3,6,0,0.9186411,1,0,1.08,Rojo
7069,CHIAPAS,PIJIJIAPAN,51193,59.73860705073087,177066.4537,134.9442,9.742518,1,1,0,0.79125226,3,4,1.5319148936170213,Verde
7070,CHIAPAS,EL PORVENIR,12263,2422.964912280702,8338.152072,74.99574,0.655089,0,2,0,0.8650704,0,0,3,
7071,CHIAPAS,VILLA COMALTITLAN,30297,114.33333333333331,44992.81047,121.7304,27.476525,2,2,0,0.7644673,1,0,2.769230769230769,Amarillo
7072,CHIAPAS,PUEBLO NUEVO SOLISTAHUACAN,29636,1185.9186046511627,17786.09814,170.4087,1.717342,1,4,0,0.82282716,0,0,1.0434782608695652,
7073,CHIAPAS,RAYON,10866,1503.957446808511,6501.782807,177.2514,0.895148,2,5,0,0.7695536,0,0,1,
7074,CHIAPAS,REFORMA,44829,27.942857142857143,43434.58584,177.0894,19.958025,0,5,0,0.9555897,1,2,1.0256410256410258,Amarillo
7075,CHIAPAS,LAS ROSAS,28829,1423.428571428571,23585.73681,83.7351,3.165234,2,2,0,0.842824,0,0,1.06,Amarillo
7076,CHIAPAS,SABANILLA,29889,476.4324324324325,25011.6457,169.1325,3.517673,1,23,0,0.86563665,0,0,2,
7077,CHIAPAS,SALTO DE AGUA,64251,120.34246575342466,123363.0911,158.5566,23.029087,1,1,2,0.8869378,0,0,1.4375,Rojo
7078,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,215874,2207.6030534351144,39541.64172,81.10872,17.146748,1,10,0,0.82354885,0,4.777777777777778,4.778162366268093,Rojo
7079,CHIAPAS,SAN FERNANDO,41793,877.7451923076923,36033.46372,113.211,3.23251,1,1,0,0.8327092,0,0,1.25,Amarillo
7080,CHIAPAS,SILTEPEC,25937,1700.803738317757,38770.66817,110.3058,0.838338,4,7,1,0.7358074,0,0,1,
7081,CHIAPAS,SIMOJOVEL,52935,719.7007874015748,31436.47233,131.1822,1.511383,8,2,0,0.86331445,0,0,1.0373831775700937,
7082,CHIAPAS,SITALA,15518,994.5789474,10558.47893,97.0056,0.816676,1,1,0,0.9088778,0,0,3,
7083,CHIAPAS,SOCOLTENANGO,19092,677.5084745762712,63628.35684,98.8191,43.41829,2,10,0,0.78121793,1,0,1,Amarillo
7084,CHIAPAS,SOLOSUCHIAPA,8561,361.9295774647888,15639.19001,199.2501,3.72698,2,3,0,0.8641978,0,0,1.1428571428571428,
7085,CHIAPAS,SOYALO,10890,1005.8260869565216,9629.207751,146.1735,1.85958,2,2,0,0.8810843,0,0,1.0476190476190477,
7086,CHIAPAS,SUCHIAPA,25627,556.8933333333333,28488.90063,93.3759,1.894256,2,4,2,0.8412542,0,1,3.4772727272727275,Amarillo
7087,CHIAPAS,SUCHIATE,41672,10.989637305699482,23923.93223,141.489,17.84461,3,5,3,0.89467144,0,0,2.0333333333333337,Verde
7088,CHIAPAS,SUNUAPA,2308,272.5,7833.830214,194.9229,4.375571,2,5,2,0.9375,0,0,3,
7089,CHIAPAS,TAPACHULA,353706,371.1031613976705,99227.14492,144.4743,6.790644,20,28,46,0.9071045,15,9.149122807017545,4.980769230769231,Verde
7090,CHIAPAS,TAPALAPA,4547,1397.5,6616.693158,165.0591,2.056054,3,5,0,0.62862504,0,0,1,
7091,CHIAPAS,TAPILULA,13592,897.9285714285714,3745.687836,193.2822,3.93076,1,2,0,0.83965516,0,0,1.0952380952380951,
7092,CHIAPAS,TECPATAN,21426,424.3464285714286,52228.57487,170.0001,20.192164,2,2,0,0.8556006,8,0,3,Verde
7093,CHIAPAS,TENEJAPA,48162,1875.6268656716416,19294.76132,82.97226,3.639299,1,1,1,0.89212584,0,0,1,
7094,CHIAPAS,TEOPISCA,49499,1783.0220588235295,28453.99856,80.59419,4.560232,3,9,0,0.783748,0,0,1.041860465116279,
7096,CHIAPAS,TILA,83505,765.9177215189874,80161.23724,160.3089,5.580003,2,4,1,0.83992493,1,6,2.9516441005802703,
7097,CHIAPAS,TONALA,91913,56.20710059171598,186504.6131,123.4647,11.583119,0,11,7,0.79197913,76,4,2.2913385826771653,Verde
7098,CHIAPAS,TOTOLAPA,7211,595.5151515151515,16917.40814,95.049,2.200987,5,3,0,0.796213,0,0,1,
7099,CHIAPAS,LA TRINITARIA,83111,970.4138576779026,161245.7294,101.7639,10.469697,1,3,1,0.86794454,0,2,2.1323529411764706,Amarillo
7100,CHIAPAS,TUMBALA,38025,777.9922480620155,40248.7671,137.2122,4.707003,1,1,4,0.86678517,0,6,2,
7101,CHIAPAS,TUXTLA GUTIERREZ,604147,794.8352941176471,33585.3281,94.8474,2.183389,6,5,6,0.918776,9,29.63106395520189,9.386306001690617,Amarillo
7102,CHIAPAS,TUXTLA CHICO,41024,292.8545454545455,16774.02147,167.2524,5.783465,1,1,1,0.94794637,0,0,1,Amarillo
7103,CHIAPAS,TUZANTAN,30302,191.83453237410072,17601.61409,122.5017,5.728828,4,6,1,0.930382,0,0,1.25,
7104,CHIAPAS,TZIMOL,16560,786.8595041322315,36016.48986,96.7653,5.768216,1,1,1,0.87482274,0,0,1.032258064516129,Amarillo
7105,CHIAPAS,UNION JUAREZ,16008,1271.7317073170732,6269.077717,137.538,1.460821,2,3,1,0.87111694,0,0,51,
7106,CHIAPAS,VENUSTIANO CARRANZA,67292,682.7619047619048,136634.3274,96.1272,12.752861,7,2,0,0.8832511,1,0,1.0033898305084743,Amarillo
7107,CHIAPAS,VILLA CORZO,65643,729.1875,240068.1587,118.4292,3.929906,1,4,0,0.66186684,0,0,3.0376569037656904,Amarillo
7108,CHIAPAS,VILLAFLORES,109536,684.9730377,190804.0678,101.3958,3.044653,4,4,1,0.7870516,0,5.866666666666667,5.026415094339622,Amarillo
7109,CHIAPAS,YAJALON,40285,1060.091286307054,20950.74442,116.928,1.658741,1,4,0,0.81664777,0,5,3.020833333333333,
7110,CHIAPAS,SAN LUCAS,7526,711.1428571428571,9435.41415,98.0568,2.698991,4,2,0,0.8487727,0,0,1,
7111,CHIAPAS,ZINACANTAN,45373,1946.953846153846,19518.59253,113.5512,1.896443,1,1,0,0.8239482,0,0,3.0185873605947955,
7112,CHIAPAS,SAN JUAN CANCUC,37948,1197.6222222222225,17341.15733,87.921,1.505225,2,1,0,0.92829305,0,0,2,
7113,CHIAPAS,ALDAMA,8480,1737.3478260869565,2686.798404,104.2434,0.761944,1,3,0,0.88363105,0,0,1,
